iter	Logloss
0	0.6542840358
1	0.6327574817
2	0.6108638978
3	0.5882893403
4	0.5659588472
5	0.5483802522
6	0.5334298755
7	0.5166547165
8	0.496131501
9	0.4771201662
10	0.46409683
11	0.4486242207
12	0.4376339979
13	0.4248304374
14	0.4160964109
15	0.4059295929
16	0.3956970307
17	0.3878349488
18	0.3802988486
19	0.3733825167
20	0.3689043733
21	0.3599081457
22	0.3527113413
23	0.3449947223
24	0.3370725684
25	0.3298555618
26	0.3234775422
27	0.3163228806
28	0.311679401
29	0.3048504812
30	0.3008372916
31	0.2955019686
32	0.2916922076
33	0.2875997906
34	0.2829276747
35	0.2795920432
36	0.2763042148
37	0.2722365481
38	0.2689929964
39	0.26563439
40	0.2621187412
41	0.2589558227
42	0.2565274058
43	0.2524295785
44	0.2489125181
45	0.2467542349
46	0.2433938261
47	0.241198174
48	0.2384533174
49	0.234566319
50	0.2321547025
51	0.2290073447
52	0.2261765293
53	0.2231444145
54	0.2209046281
55	0.2182332407
56	0.216511571
57	0.2151908696
58	0.2136553035
59	0.212395929
