iter	Passed	Remaining
0	2	1102
1	3	896
2	5	838
3	6	796
4	7	791
5	9	768
6	10	762
7	12	752
8	13	740
9	15	768
10	17	786
11	19	783
12	20	781
13	22	769
14	23	763
15	25	759
16	26	755
17	28	750
18	29	748
19	30	742
20	32	741
21	33	736
22	35	734
23	36	732
24	38	726
25	40	739
26	42	736
27	43	731
28	44	730
29	46	727
30	48	737
31	50	732
32	51	728
33	52	725
34	54	722
35	55	720
36	57	719
37	58	716
38	60	712
39	61	710
40	63	707
41	64	706
42	66	703
43	67	699
44	68	696
45	70	695
46	71	693
47	73	691
48	74	688
49	76	685
50	77	683
51	79	681
52	80	679
53	82	678
54	83	675
55	84	672
56	86	670
57	87	667
58	89	666
59	90	664
